,Pos,frequency,gen,New_freq,Noisy_freq
0,2,0.0003811238964683086,12,0.0005,0.0006
1,5,0.00036212270509360935,12,0.0005,0.0005
2,8,0.00039522478059374324,12,0.0005,0.0005
3,11,0.0004045253637403065,12,0.0005,0.0006
4,13,0.0004039253261179476,12,0.0005,0.0006
5,14,0.0003810238901979154,12,0.0005,0.0005
6,17,0.0003942247178898117,12,0.0005,0.0006
7,20,0.0004244266115485441,12,0.0005,0.0005
8,23,0.000382723996794599,12,0.0005,0.0006
9,26,0.00038932441064054715,12,0.0005,0.0006
10,29,0.00039642485583846107,12,0.0005,0.0006
11,32,0.0003765236080302235,12,0.0005,0.0005
12,35,0.0003631227677975409,12,0.0005,0.0005
13,38,0.0003849241347432484,12,0.0005,0.0005
14,41,0.00035072199026878984,12,0.0005,0.0005
15,43,0.0003526221094062598,12,0.0005,0.0005
16,44,0.00038692426015111145,12,0.0005,0.0006
17,47,0.00038262399052420586,12,0.0005,0.0005
18,50,0.0003925246112931281,12,0.0005,0.0006
19,52,0.000378123708356514,12,0.0005,0.0006
20,53,0.00039952505022064884,12,0.0005,0.0006
21,56,0.0003592225232522079,12,0.0005,0.0006
22,59,0.00038992444826290606,12,0.0005,0.0006
23,62,0.00041202583401979306,12,0.0005,0.0006
24,65,0.00040852561455603266,12,0.0005,0.0006
25,68,0.00036992319418427535,12,0.0005,0.0005
26,71,0.0003932246551858802,12,0.0005,0.0005
27,72,0.00041342592180529717,12,0.0005,0.0006
28,74,0.00037232334467371105,12,0.0005,0.0005
29,77,0.0003611226423896778,12,0.0005,0.0005
30,80,0.00038682425388071834,12,0.0005,0.0006
31,83,0.0003963248495680679,12,0.0005,0.0005
32,84,0.0003993250376798625,12,0.0005,0.0006
33,86,0.0004119258277493999,12,0.0005,0.0005
34,89,0.000399625056491042,12,0.0005,0.0005
35,92,0.0003795237961420181,12,0.0005,0.0005
36,95,0.0003986249937871105,12,0.0005,0.0006
37,98,0.0003622227113640025,12,0.0005,0.0006
38,101,0.00038672424761032517,12,0.0005,0.0006
39,103,0.00040532541390345177,12,0.0005,0.0006
40,104,0.00037482350143353986,12,0.0005,0.0006
41,107,0.0004005251129245804,12,0.0005,0.0006
42,110,0.00037772368327494135,12,0.0005,0.0006
43,111,0.00037182331332174525,12,0.0005,0.0005
44,112,0.0004216264359775358,12,0.0005,0.0006
45,113,0.00035162204670232826,12,0.0005,0.0006
46,116,0.0003454216579379527,12,0.0005,0.0005
47,119,0.00040862562082642583,12,0.0005,0.0006
48,122,0.0003459216892899185,12,0.0005,0.0006
49,124,0.00038372405949853056,12,0.0005,0.0005
50,125,0.00038322402814656477,12,0.0005,0.0006
51,126,0.0003992250314094694,12,0.0005,0.0006
52,128,0.0003715232945105658,12,0.0005,0.0005
53,130,0.00042322653630382623,12,0.0005,0.0006
54,131,0.00039152454858919656,12,0.0005,0.0006
55,134,0.00039282463010430755,12,0.0005,0.0006
56,137,0.00037792369581572763,12,0.0005,0.0006
57,140,0.0003694231628323096,12,0.0005,0.0006
58,143,0.00039232459875234175,12,0.0005,0.0005
59,144,0.00042022634819203163,12,0.0005,0.0006
60,146,0.0003618226862824299,12,0.0005,0.0005
61,149,0.0003653229057461903,12,0.0005,0.0006
62,150,0.00037722365192297555,12,0.0005,0.0006
63,152,0.0004181262165137754,12,0.0005,0.0006
64,155,0.0003685231063987712,12,0.0005,0.0005
65,158,0.00037882375224926605,12,0.0005,0.0006
66,161,0.0003752235265151125,12,0.0005,0.0006
67,162,0.00038012383376437704,12,0.0005,0.0006
68,164,0.0003968248809200337,12,0.0005,0.0006
69,166,0.0003998250690318283,12,0.0005,0.0005
70,167,0.0003702232129954548,12,0.0005,0.0005
71,170,0.0003685231063987712,12,0.0005,0.0005
72,173,0.0003920245799411623,12,0.0005,0.0005
73,176,0.0003933246614562733,12,0.0005,0.0006
74,178,0.0003545222285437297,12,0.0005,0.0006
75,179,0.00039452473670099116,12,0.0005,0.0005
76,182,0.0003571223915739517,12,0.0005,0.0005
77,185,0.0003754235390558988,12,0.0005,0.0005
78,188,0.00040032510038379404,12,0.0005,0.0005
79,189,0.000391824567400376,12,0.0005,0.0006
80,191,0.0003949247617825638,12,0.0005,0.0006
81,194,0.0003817239340906675,12,0.0005,0.0006
82,197,0.0004132259092645109,12,0.0005,0.0006
83,200,0.00037342341364803575,12,0.0005,0.0005
84,201,0.00039532478686413636,12,0.0005,0.0005
85,203,0.0004059254515258107,12,0.0005,0.0006
86,206,0.00038322402814656477,12,0.0005,0.0005
87,209,0.00037042322553624115,12,0.0005,0.0006
88,212,0.0003924246050227349,12,0.0005,0.0005
89,215,0.00037852373343808654,12,0.0005,0.0006
90,218,0.00043202708809842377,12,0.0005,0.0005
91,219,0.0003978249436239652,12,0.0005,0.0006
92,221,0.0003795237961420181,12,0.0005,0.0006
93,224,0.0004071255267705285,12,0.0005,0.0005
94,227,0.0003684231001283781,12,0.0005,0.0005
95,230,0.0004047253762810928,12,0.0005,0.0005
96,233,0.0004110257713158615,12,0.0005,0.0005
97,236,0.0003805238588459496,12,0.0005,0.0006
98,239,0.00039222459248194864,12,0.0005,0.0005
99,242,0.0004110257713158615,12,0.0005,0.0006
