,Pos,frequency,gen,New_freq
0,2,0.00031529033067973975,10,0.00039999999999995595
1,5,0.00030378703498552335,10,0.00039999999999995595
2,8,0.0003294944001456417,10,0.0004999999999999449
3,11,0.0003307947727023792,10,0.0004999999999999449
4,13,0.00033469589037259177,10,0.0004999999999999449
5,14,0.0003260934257664821,10,0.0004999999999999449
6,17,0.00032449296723511287,10,0.0004999999999999449
7,20,0.0003510005616609159,10,0.0004999999999999449
8,23,0.0003147901873886869,10,0.0004999999999999449
9,26,0.00032919431417101,10,0.0004999999999999449
10,29,0.0003393972373084889,10,0.0004999999999999449
11,32,0.0003105889837438426,10,0.0004999999999999449
12,35,0.00030088620389741663,10,0.0004999999999999449
13,38,0.0003164906745782667,10,0.0004999999999999449
14,41,0.00028928287954498966,10,0.0004999999999999449
15,43,0.0002919836533166752,10,0.0004999999999999449
16,44,0.00031699081786931954,10,0.0004999999999999449
17,47,0.0003288942281963783,10,0.0004999999999999449
18,50,0.0003294944001456417,10,0.0004999999999999449
19,52,0.000317590989818583,10,0.0004999999999999449
20,53,0.0003365964348785927,10,0.0004999999999999449
21,56,0.00030118628987204835,10,0.0004999999999999449
22,59,0.0003228925087037436,10,0.0004999999999999449
23,62,0.0003461991860668081,10,0.0004999999999999449
24,65,0.00034399855558617546,10,0.0004999999999999449
25,68,0.0003215921361470061,10,0.0004999999999999449
26,71,0.00032139207883058495,10,0.0004999999999999449
27,72,0.0003429982690040697,10,0.0004999999999999449
28,74,0.0003189913910335311,10,0.0004999999999999449
29,77,0.0003124895282498436,10,0.0004999999999999449
30,80,0.0003153903593379503,10,0.0004999999999999449
31,83,0.0003415978677891216,10,0.0004999999999999449
32,84,0.00033419574708153885,10,0.0004999999999999449
33,86,0.0003335955751322754,10,0.0004999999999999449
34,89,0.0003429982690040697,10,0.0004999999999999449
35,92,0.0003160905599454244,10,0.0004999999999999449
36,95,0.0003335955751322754,10,0.0004999999999999449
37,98,0.00029148351002562236,10,0.0004999999999999449
38,101,0.00032709371234858787,10,0.0004999999999999449
39,103,0.00032369273796942823,10,0.0004999999999999449
40,104,0.0003202917635902686,10,0.0004999999999999449
41,107,0.000331795059284485,10,0.0004999999999999449
42,110,0.00032809399893069365,10,0.0004999999999999449
43,111,0.0003176910184767936,10,0.0004999999999999449
44,112,0.0003345958617143812,10,0.0004999999999999449
45,113,0.0003172909038439513,10,0.0004999999999999449
46,116,0.00029068328075993773,10,0.0004999999999999449
47,119,0.000331094858677011,10,0.0004999999999999449
48,122,0.00028098050091351174,10,0.0004999999999999449
49,124,0.0003230925660201648,10,0.0004999999999999449
50,125,0.00032489308186795516,10,0.0004999999999999449
51,126,0.00034920004581312546,10,0.0004999999999999449
52,128,0.0003137899008065811,10,0.0004999999999999449
53,130,0.00036680508965818707,10,0.0004999999999999449
54,131,0.00032489308186795516,10,0.0004999999999999449
55,134,0.0003208919355395321,10,0.0004999999999999449
56,137,0.00034039752389059463,10,0.0004999999999999449
57,140,0.0003132897575155282,10,0.0004999999999999449
58,143,0.0003301946007531158,10,0.0004999999999999449
59,144,0.00035630208054607645,10,0.0004999999999999449
60,146,0.00030348694901089163,10,0.0004999999999999449
61,149,0.00030628775144078777,10,0.0004999999999999449
62,150,0.0003157904739707926,10,0.0004999999999999449
63,152,0.00034049755254880526,10,0.0004999999999999449
64,155,0.00031439007275584454,10,0.0004999999999999449
65,158,0.00031719087518574074,10,0.0004999999999999449
66,161,0.00030638778009899834,10,0.0004999999999999449
67,162,0.0003105889837438426,10,0.0004999999999999449
68,164,0.0003251931678425869,10,0.0004999999999999449
69,166,0.00032499311052616573,10,0.0004999999999999449
70,167,0.00030218657645415413,10,0.0004999999999999449
71,170,0.00030028603194815314,10,0.0004999999999999449
72,173,0.0003182911904260571,10,0.0004999999999999449
73,176,0.000338897094017436,10,0.0004999999999999449
74,178,0.00029958583134067913,10,0.0004999999999999449
75,179,0.00033519603366364463,10,0.0004999999999999449
76,182,0.000305287464858682,10,0.0004999999999999449
77,185,0.00031879133371710995,10,0.0004999999999999449
78,188,0.00033479591903080234,10,0.0004999999999999449
79,189,0.0003323952312337485,10,0.0004999999999999449
80,191,0.00033779677877711963,10,0.0004999999999999449
81,194,0.00031879133371710995,10,0.0004999999999999449
82,197,0.00034179792510554276,10,0.0004999999999999449
83,200,0.000320191734932058,10,0.0004999999999999449
84,201,0.00033699654951143505,10,0.0004999999999999449
85,203,0.0003391971799920677,10,0.0004999999999999449
86,206,0.0003281940275889042,10,0.0004999999999999449
87,209,0.00032579333979185037,10,0.0004999999999999449
88,212,0.00033389566110690713,10,0.0004999999999999449
89,215,0.0003122894709334224,10,0.0004999999999999449
90,218,0.00035460159335649666,10,0.0004999999999999449
91,219,0.0003275938556396408,10,0.0004999999999999449
92,221,0.0003159905312872138,10,0.0004999999999999449
93,224,0.0003464992720414399,10,0.0004999999999999449
94,227,0.0003016864331631012,10,0.0004999999999999449
95,230,0.0003394972659666995,10,0.0004999999999999449
96,233,0.0003391971799920677,10,0.0004999999999999449
97,236,0.0003064878087572089,10,0.0004999999999999449
98,239,0.00033389566110690713,10,0.0004999999999999449
99,242,0.0003495001317877572,10,0.0004999999999999449
